epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,48589.2,0.56195,0.5722,0.26817,0.76211,0.70481,0.7697,0.43595,0.29976,0.37199,0.19385,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,49665.9,0.55994,0.56841,0.26681,0.76304,0.71075,0.77008,0.43737,0.29816,0.36475,0.1944,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,50732.5,0.58157,0.574,0.27476,0.76669,0.71555,0.77149,0.44171,0.29594,0.36415,0.19301,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,51819.4,0.57239,0.56507,0.2701,0.77266,0.71247,0.77316,0.44377,0.293,0.36493,0.19283,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,52900.7,0.59743,0.56724,0.28192,0.77725,0.71187,0.77254,0.43969,0.29361,0.37014,0.19432,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,53974.3,0.59859,0.56438,0.28521,0.77026,0.71235,0.7722,0.4378,0.29368,0.37774,0.19461,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,55048.5,0.55583,0.55118,0.26046,0.7723,0.70889,0.77202,0.43655,0.29697,0.37838,0.19581,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,56130.8,0.53494,0.56241,0.25519,0.77856,0.72251,0.77849,0.4433,0.29233,0.37542,0.19134,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,57216.1,0.55487,0.55844,0.26021,0.77507,0.72762,0.78247,0.44494,0.29122,0.37014,0.1906,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,58299.2,0.53072,0.54957,0.25394,0.78092,0.72811,0.78458,0.44472,0.29358,0.36531,0.19349,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
